company_name,ticker,employees,esg_score,piotroski_score,altman_score,sdg_no_poverty,sdg_no_hunger,sdg_good_health,sdg_quality_education,sdg_gender_equality,sdg_clean_water,sdg_clean_energy,sdg_decent_work,sdg_industry_innovation,sdg_reduced_inequalities,sdg_sustainable_cities,sdg_responsible_consumption,sdg_climate_action,sdg_life_below_water,sdg_life_on_land,sdg_peace_justice,sdg_partnerships
Datadog,DDOG,5200.00,16.70,7.00,14.380,No,No,No,No,Aligned,No,No,No,No,No,No,No,No,No,No,No,No
Emerson,EMR,67000.00,24.50,7.00,4.220,No,No,No,No,Aligned,No,No,Aligned,No,Aligned,No,No,No,No,No,No,No
Micron,MU,43000.00,19.70,2.00,4.600,No,No,No,No,Aligned,No,No,Aligned,No,Aligned,No,No,No,No,No,No,No
"Henry Schein",HSIC,25000.00,14.40,6.00,3.060,No,No,No,No,Aligned,No,No,No,No,No,No,No,No,No,No,No,No
Facebook,META,67317.00,33.90,7.00,11.300,No,No,No,No,Aligned,No,No,No,No,No,No,No,No,No,No,No,No
NICE,NICE,8384.00,14.30,6.00,6.370,No,No,No,No,No,No,No,No,No,No,No,Aligned,No,No,No,No,No
"Service & Support company",UPS,500000.00,18.60,6.00,3.560,No,No,No,No,Aligned,No,Aligned,No,No,No,No,No,No,No,No,No,No
MOS,MOS,14049.00,37.80,6.00,2.260,No,No,No,No,Aligned,Aligned,No,No,Aligned,Aligned,No,No,No,No,No,No,No
PATH,PATH,4035.00,17.10,4.00,7.170,No,No,No,No,Aligned,No,No,No,No,No,No,Aligned,No,No,No,Aligned,No
Discovery,WBD,35300.00,19.90,5.00,0.420,No,No,No,No,Aligned,No,No,Aligned,No,No,No,No,No,No,No,No,No
NextDC,NXT,606.00,19.70,7.00,2.640,No,No,No,No,Aligned,No,Aligned,No,No,No,No,No,Aligned,No,No,No,No
Equinix,EQIX,13151.00,14.10,6.00,2.180,No,No,No,No,Aligned,No,No,Aligned,No,No,No,Aligned,No,No,No,No,No
"Towers Watson",WTW,48000.00,18.70,7.00,1.360,No,No,No,No,Aligned,No,No,No,No,No,No,No,No,No,No,Aligned,No
ROS,ROST,108000.00,17.60,8.00,5.300,No,No,No,No,Aligned,No,No,Aligned,No,No,No,No,No,No,No,No,No
Schlumberger,SLB,111000.00,20.10,7.00,3.210,No,No,No,No,Aligned,No,No,Aligned,No,Aligned,No,No,No,No,No,No,No
